names,scores,logfoldchanges,pvals,pvals_adj,rank_score
DUSP16,16.324099,2.5595396,6.651610155469604e-60,6.9603586910283e-58,16.324099
KANSL1,16.295301,1.8423057,1.0657828359091736e-59,1.109321198567591e-57,16.295301
ATP8A1,16.293276,2.497449,1.101677928044299e-59,1.1406155394693568e-57,16.293276
FBXL17,16.27682,2.4732025,1.4416986993323022e-59,1.484797902554447e-57,16.27682
PRKCH,16.27087,1.3883214,1.5888413714452728e-59,1.6192941643979738e-57,16.27087
RFX7,16.252642,2.7512696,2.1394261335218677e-59,2.1691342269821713e-57,16.252642
PPP6R3,16.250933,1.8097249,2.199905353859757e-59,2.21895608063545e-57,16.250933
ANKRD11,16.219034,1.5570222,3.699676922066216e-59,3.712578359538037e-57,16.219034
ZDHHC20,16.216438,2.010816,3.8593113486451223e-59,3.8530104321575385e-57,16.216438
NSMCE2,16.212072,1.9775606,4.143603978864254e-59,4.115839728853591e-57,16.212072
CCDC91,16.19454,1.8323649,5.5108203138803675e-59,5.446249085960154e-57,16.19454
MGAT5,16.192326,2.4009628,5.7128679940449485e-59,5.61755783454631e-57,16.192326
DENND4A,16.12169,2.0961905,1.7962544389019424e-58,1.7574553430216604e-56,16.12169
SRPK2,16.085804,1.4999528,3.208558325318811e-58,3.123635289046691e-56,16.085804
NCOA2,16.015676,1.966708,9.931913772194282e-58,9.621172707638499e-56,16.015676
ARAP2,16.010107,1.9227399,1.0862158290816933e-57,1.0470478494320478e-55,16.010107
USP34,16.008463,1.659456,1.1153258634302823e-57,1.0698380635099886e-55,16.008463
FBXO33,15.954158,2.3118563,2.66545186718867e-57,2.544271323763312e-55,15.954158
CHMP4A,15.9059925,2.0024724,5.758326943858495e-57,5.469851535797235e-55,15.9059925
SCLT1,15.86365,2.4161677,1.131229865327643e-56,1.0693674398420928e-54,15.86365
DPYD,15.847954,1.7986413,1.4523256696664116e-56,1.366303303078478e-54,15.847954
PTBP2,15.819409,2.7263808,2.2862687187324027e-56,2.13036696610265e-54,15.819409
TNRC6A,15.81289,1.9341192,2.535615572137605e-56,2.3515130576108366e-54,15.81289
CERS6,15.787827,3.309756,3.7735773888197034e-56,3.48308312945396e-54,15.787827
R3HCC1L,15.77846,2.6651583,4.377404475003769e-56,4.0214577824823366e-54,15.77846
FNDC3A,15.774916,2.1461773,4.630184985032278e-56,4.2338065321080193e-54,15.774916
TBC1D5,15.7555485,1.958818,6.29116023616619e-56,5.725833651223256e-54,15.7555485
ITFG1,15.744978,1.907587,7.435660172357553e-56,6.736157326513546e-54,15.744978
CEP85L,15.7427635,1.8726846,7.700636549247577e-56,6.944057879985095e-54,15.7427635
RNGTT,15.725738,2.2125037,1.0077043773711668e-55,9.003999660456161e-54,15.725738
UBR5,15.687066,1.9403716,1.8542946625397687e-55,1.6493108162080996e-53,15.687066
STAG2,15.668964,1.5486414,2.465623493687654e-55,2.1733027263279286e-53,15.668964
TRAC,15.657888,1.5210003,2.9347884390811832e-55,2.575243954078054e-53,15.657888
HERC1,15.654914,1.7028543,3.075283789189939e-55,2.6864800529852114e-53,15.654914
ARPC1B,15.643521,1.0653297,3.678126372743803e-55,3.1988256383044774e-53,15.643521
OOEP,15.6246605,2.7495892,4.94548080209535e-55,4.281998598911584e-53,15.6246605
XRN1,15.614091,1.6254913,5.837123318301754e-55,5.031754585573952e-53,15.614091
WDR7,15.55985,2.368985,1.364187509957681e-54,1.165695248683489e-52,15.55985
HNRNPUL2,15.555039,2.7288547,1.4706430919484057e-54,1.2511975662281044e-52,15.555039
IRF9,15.538963,2.2723446,1.890158921686294e-54,1.601152804309844e-52,15.538963
TMEM131L,15.512255,1.7721972,2.8663602197695075e-54,2.4072505055987006e-52,15.512255
FCHSD2,15.510292,2.7807028,2.9553063172406623e-54,2.4713433340070634e-52,15.510292
RBM38,15.496748,1.9585153,3.649008361674111e-54,3.03845938813783e-52,15.496748
TXNL4A,15.481304,1.6059622,4.639675934378839e-54,3.846999096776488e-52,15.481304
MALT1,15.458393,1.8273555,6.62303026624656e-54,5.468331487338088e-52,15.458393
ATP9B,15.441241,2.1975718,8.642143160393799e-54,7.1054393849826e-52,15.441241
RORA,15.434912,1.5533097,9.533077492513045e-54,7.805157337803149e-52,15.434912
MDFIC,15.397253,2.0297334,1.7077107346832755e-53,1.3923534856784304e-51,15.397253
RAD51B,15.373961,2.6387346,2.4473533821687356e-53,1.9871290864015694e-51,15.373961
TNIK,15.33105,1.5554367,4.74259048171602e-53,3.8348351465379783e-51,15.33105
PTP4A2,15.32491,1.1486286,5.212626491770773e-53,4.197558649834176e-51,15.32491
KDM6A,15.306303,1.8510513,6.939837187466241e-53,5.565521888702434e-51,15.306303
UBE2K,15.296745,1.5085441,8.03763849050663e-53,6.393516665944461e-51,15.296745
AP3B1,15.287885,1.6311717,9.209291076453776e-53,7.266427733227721e-51,15.287885
BCAS3,15.263454,2.2760653,1.3396495756687672e-52,1.0485705158674576e-50,15.263454
ITCH,15.22358,1.9171333,2.4665475997558738e-52,1.9152937869850372e-50,15.22358
TBL1X,15.207125,2.9540431,3.1717190072554e-52,2.453130337311212e-50,15.207125
PPM1B,15.206491,1.6983191,3.202525276906278e-52,2.4672052999410256e-50,15.206491
ETS1,15.176365,1.1609102,5.071195920649867e-52,3.8914965402069253e-50,15.176365
MXD4,15.139023,2.3908432,8.95346353108439e-52,6.790750944816253e-50,15.139023
PPP2R5C,15.134339,1.2214776,9.614201154593556e-52,7.263733134868212e-50,15.134339
ZNF831,15.127566,1.8920959,1.0656342390838302e-51,7.9589048818291565e-50,15.127566
BACH2,15.121238,2.4261024,1.1731707562263918e-51,8.728747284349063e-50,15.121238
PBRM1,15.118579,1.6997148,1.2214968443088584e-51,9.05388267024081e-50,15.118579
BPTF,15.115667,1.3914478,1.2767021633230907e-51,9.427361483738204e-50,15.115667
