names,scores,logfoldchanges,pvals,pvals_adj,rank_score
SLC38A9,7.4800467,1.5523176,7.429608309874046e-14,9.224782703528892e-13,7.4800467
PREP,7.479819,1.0658693,7.442527233147463e-14,9.23496340508748e-13,7.479819
TRAPPC8,7.4789815,1.1334932,7.490085821139652e-14,9.28220388524767e-13,7.4789815
METTL8,7.4759374,1.4603885,7.665557851884107e-14,9.493647850991659e-13,7.4759374
UBAC1,7.4728928,1.4096118,7.845069182107307e-14,9.709823766949764e-13,7.4728928
DCAF6,7.4655867,1.0622206,8.292927187610736e-14,1.0251168617003593e-12,7.4655867
HDGFL2,7.462314,1.1114339,8.501591021541207e-14,1.0495844360221978e-12,7.462314
SAMD8,7.459879,1.6374446,8.660216726972731e-14,1.0678205476584903e-12,7.459879
ALCAM,7.457443,1.8281021,8.821750655114065e-14,1.08568564037278e-12,7.457443
CEP152,7.455845,1.8675402,8.92936293837541e-14,1.0975488315209172e-12,7.455845
HRAS,7.454399,1.8414857,9.027837582991158e-14,1.1089562198617136e-12,7.454399
PDXK,7.448615,1.3038161,9.432522534175976e-14,1.1572137990517586e-12,7.448615
TRAPPC13,7.4483104,1.6234283,9.454308669414863e-14,1.1591598498941732e-12,7.4483104
SPOPL,7.43659,1.7450268,1.0331748361383544e-13,1.2643630515043976e-12,7.43659
SLX4IP,7.4259353,1.5717885,1.1198579486651811e-13,1.3695862712175164e-12,7.4259353
ATP6V1A,7.4246416,1.3832242,1.1308586218616426e-13,1.382176234390295e-12,7.4246416
SLC39A9,7.4155087,1.2884612,1.2115890503717261e-13,1.4799235042243407e-12,7.4155087
SUSD6,7.409877,1.2636237,1.264168350760978e-13,1.5422223371378314e-12,7.409877
FAAH2,7.4027987,2.0359507,1.3334364640702585e-13,1.6247001699207233e-12,7.4027987
MINDY3,7.3989935,1.4120805,1.3722052652471237e-13,1.6708968656101877e-12,7.3989935
RNF220,7.3961015,1.1315602,1.4024083154332523e-13,1.7066123082336991e-12,7.3961015
YTHDF1,7.3909264,1.7468531,1.4580947488765143e-13,1.7699750648893072e-12,7.3909264
CAAP1,7.3833156,1.1206249,1.5439544259384346e-13,1.8718773362306873e-12,7.3833156
TTC27,7.378978,1.6188793,1.5950973162846705e-13,1.9302946372948936e-12,7.378978
ASH2L,7.374107,1.1170819,1.6545060719667914e-13,1.9997143184833954e-12,7.374107
RYK,7.3691597,1.585093,1.71706730493247e-13,2.0727682309018247e-12,7.3691597
KMT5B,7.3662677,1.2501419,1.754712080454284e-13,2.1142983984192997e-12,7.3662677
TGFBR3,7.362843,1.0827266,1.8003410718300527e-13,2.167943021142798e-12,7.362843
LY75,7.355537,1.2789254,1.901614226727684e-13,2.2884862969623197e-12,7.355537
RRAS2,7.3438163,1.321446,2.0758790240869231e-13,2.4920736652351482e-12,7.3438163
FBXO42,7.3426747,1.2956932,2.093668696056109e-13,2.5118889665497207e-12,7.3426747
NPTN,7.3383365,1.0779561,2.1626457039667524e-13,2.58976859493275e-12,7.3383365
HMBOX1,7.3355207,1.1019386,2.2086100716468289e-13,2.6400783067797892e-12,7.3355207
HS2ST1,7.3333898,1.4741652,2.244030550512594e-13,2.6791451990500574e-12,7.3333898
OXSR1,7.332705,1.1442138,2.2555337700861613e-13,2.6912368788442685e-12,7.332705
ABHD15-AS1,7.3247137,3.3794713,2.3940938185126345e-13,2.851346794927281e-12,7.3247137
FAM117A,7.3038607,1.1982907,2.796263559809236e-13,3.3121843425149596e-12,7.3038607
NENF,7.2957172,1.0441078,2.9707257249542785e-13,3.5145804707318818e-12,7.2957172
CCNQ,7.2895527,1.1806064,3.1098633462972505e-13,3.672529025971309e-12,7.2895527
PIGB,7.2867365,1.2540542,3.1755307571647756e-13,3.74781579349821e-12,7.2867365
F8A1,7.2846055,2.2507815,3.2261284449433714e-13,3.802944663292282e-12,7.2846055
LCORL,7.2836924,1.8994184,3.248054782606703e-13,3.8264862122846455e-12,7.2836924
CALU,7.283007,1.0364264,3.264595519763309e-13,3.843658551788714e-12,7.283007
DDX60L,7.282094,1.0554994,3.2867785824396107e-13,3.867449386721485e-12,7.282094
SBNO2,7.2798867,1.3965118,3.341000644450631e-13,3.928888257849156e-12,7.2798867
DGKH,7.2785172,1.6156843,3.375096565999376e-13,3.961841008006946e-12,7.2785172
SAP130,7.2783647,1.4715546,3.3789060312885987e-13,3.963934845339047e-12,7.2783647
ZMYM4,7.269765,1.3891596,3.6011400930339936e-13,4.2170621987126984e-12,7.269765
GALK2,7.2695365,1.1454608,3.6072315970661456e-13,4.221669132260188e-12,7.2695365
SOCS3,7.2686234,1.5709959,3.6316989675035235e-13,4.247763622002926e-12,7.2686234
TASP1,7.2683187,1.2138739,3.639890918830697e-13,4.254802001175573e-12,7.2683187
THAP11,7.2671013,1.0945354,3.672840579923059e-13,4.2881947773230564e-12,7.2671013
LINC01891,7.2637525,1.9437472,3.7649699572709666e-13,4.3931384689253596e-12,7.2637525
TFCP2,7.261241,1.2874595,3.8355526746863673e-13,4.470166452546922e-12,7.261241
C9orf85,7.260632,1.1595696,3.8528583776872787e-13,4.487662662772897e-12,7.260632
