ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022408	negative regulation of cell-cell adhesion	13/511	205/18614	0.00446757541823239	0.0992658818784698	0.0847624268671698	CD274/BMP6/UBASH3B/LGALS9C/VEGFA/HLA-G/VSIG4/TBX21/CCL25/LRRC32/TRPV4/ADTRP/MDK	13
GO:0001779	natural killer cell differentiation	4/511	25/18614	0.0044908640849834	0.0992658818784698	0.0847624268671698	GAS6/PRDM1/TOX/RABL3	4
GO:0045649	regulation of macrophage differentiation	4/511	25/18614	0.0044908640849834	0.0992658818784698	0.0847624268671698	TRIB1/ROR2/ID2/C1QC	4
GO:0042092	type 2 immune response	5/511	40/18614	0.00455373389858986	0.099668734594136	0.0851064199210138	NLRP3/TBX21/BCL3/NOD2/MYB	5
GO:1901186	positive regulation of ERBB signaling pathway	5/511	40/18614	0.00455373389858986	0.099668734594136	0.0851064199210138	FASLG/TGFA/PLAUR/BCAR3/MMP9	5
GO:0061458	reproductive system development	17/511	305/18614	0.00472688312372478	0.102336233846712	0.087384178462378	DHCR24/BMP6/SDC1/RXFP2/VEGFA/BCL2/VGF/FOXC1/ROR2/KCNE1/ASPM/GDF7/PTPRN/FSHR/BIK/RAB13/ADAM29	17
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	15/511	255/18614	0.00474961707564191	0.102336233846712	0.087384178462378	PDGFD/CRLF1/GAS6/BMP6/VEGFA/FLT3/ENPP2/TGFA/CSF1R/TNFRSF1A/LRP8/NOD2/HYAL2/SAMSN1/LILRA5	15
GO:0071559	response to transforming growth factor beta	16/511	280/18614	0.00476802332490686	0.102336233846712	0.087384178462378	PDGFD/COL4A2/BMPR1A/HSPA1A/SPRED2/SPRED1/SPRY2/LATS2/PRDM16/FMOD/ACTA2/LRRC32/HTRA3/HTRA1/HYAL2/PPARG	16
GO:0032823	regulation of natural killer cell differentiation	3/511	13/18614	0.00479020669069717	0.102336233846712	0.087384178462378	GAS6/PRDM1/TOX	3
GO:1902260	negative regulation of delayed rectifier potassium channel activity	3/511	13/18614	0.00479020669069717	0.102336233846712	0.087384178462378	KCNE1/KCNE3/KCNE5	3
