"group","gene","scores","logfoldchanges","pvals","pvals_adj"
"SKPP","KIR3DL2",9.081903,1.8359563,1.0669192810364e-19,2.85055659357186e-19
"SKPP","DACH1",9.072325,1.73002,1.16503957458428e-19,3.11058731006483e-19
"SKPP","HK3",9.047444,2.2583537,1.46353732320668e-19,3.89745486397774e-19
"SKPP","CD274",9.035293,1.6543714,1.6356424347081e-19,4.35222343790702e-19
"SKPP","INAFM2",8.964937,1.5755471,3.10458391773888e-19,8.21285630692367e-19
"SKPP","NCAPG",8.963977,2.1115625,3.13175906007786e-19,8.28138666048698e-19
"SKPP","NPDC1",8.80057,1.963021,1.36123575553459e-18,3.55155483524012e-18
"SKPP","COL5A2",8.798686,2.0498087,1.38427092011076e-18,3.61069226402658e-18
"SKPP","MSMP",8.798111,1.6541868,1.39138374552719e-18,3.62876144641825e-18
"SKPP","CDKN3",8.620284,1.8907057,6.67879836819256e-18,1.71600218577721e-17
"SKPP","NCAPH",8.577101,1.890646,9.72946946782258e-18,2.49001122869935e-17
"SKPP","TMEM44",8.561741,1.5490807,1.1117549403533e-17,2.84228124808378e-17
"SKPP","ZWINT",8.5581,2.416842,1.14743325881588e-17,2.93196317687504e-17
"SKPP","HYAL2",8.547613,1.7537242,1.25660046224461e-17,3.20505185677822e-17
"SKPP","SH3PXD2B",8.425412,5.6824784,3.59483771956506e-17,9.08951860659634e-17
"SKPP","ZFP57",8.398751,1.7010727,4.51249975606458e-17,1.13804092314308e-16
"SKPP","LGALSL",8.369002,1.747546,5.81082139654217e-17,1.46245856061141e-16
"SKPP","CHPF",8.343482,2.463913,7.21346036795225e-17,1.80942177259441e-16
"SKPP","ROR2",8.264746,2.0624328,1.39992374915382e-16,3.48831120889367e-16
"SKPP","DST",8.245204,1.6688924,1.64878789317379e-16,4.10372443317536e-16
"SKPP","EEF1AKMT4",8.234403,1.734929,1.80455572925471e-16,4.4885657188326e-16
"SKPP","FCAR",8.193364,2.4194438,2.54023543810397e-16,6.30004145156127e-16
"SKPP","KLHDC9",8.132495,1.5539662,4.20544621366873e-16,1.03694772566872e-15
"SKPP","DRAIC",8.121576,2.2597008,4.60168474177116e-16,1.13422051929686e-15
"SKPP","SIGLEC9",8.086663,2.1627233,6.13213924453785e-16,1.50726919654713e-15
"SKPP","NDRG4",8.076758,2.2093,6.65109176654633e-16,1.63380069906827e-15
