"group","gene","scores","logfoldchanges","pvals","pvals_adj","unique_group"
"SKPP","ESRRB",5.8495483,1.8319908,4.92909644521493e-09,1.00492351781585e-08,"SKPP_unique_upregulated"
"SKPP","LINC01484",5.841028,2.2159424,5.18795737841239e-09,1.05626833816225e-08,"SKPP_unique_upregulated"
"SKPP","TDRD9",5.825781,1.8200692,5.68461604093338e-09,1.15630526703726e-08,"SKPP_unique_upregulated"
"SKPP","SEMA6B",5.811157,2.7155647,6.20424695956877e-09,1.2606926739859e-08,"SKPP_unique_upregulated"
"SKPP","OAF",5.788208,1.7093201,7.1141240968366e-09,1.44293250120657e-08,"SKPP_unique_upregulated"
"SKPP","KLF14",5.785909,2.982512,7.21211863386514e-09,1.46199873021313e-08,"SKPP_unique_upregulated"
"SKPP","HAR1B",5.745224,1.5533648,9.17993531036555e-09,1.85418016260563e-08,"SKPP_unique_upregulated"
"SKPP","CNGB3",5.7416835,1.8380778,9.37398083704863e-09,1.89278771044647e-08,"SKPP_unique_upregulated"
"SKPP","IGKV1D-16",5.736522,2.1622517,9.66403500227227e-09,1.95034897818135e-08,"SKPP_unique_upregulated"
"SKPP","THSD8",5.696465,2.6057947,1.22316911835188e-08,2.46219250158518e-08,"SKPP_unique_upregulated"
"SKPP","CCDC195",5.6907315,21.026684,1.26496400188736e-08,2.54396871417594e-08,"SKPP_unique_upregulated"
"SKPP","MYOF",5.690394,1.851417,1.26746673785592e-08,2.54874001915164e-08,"SKPP_unique_upregulated"
"SKPP","SLC8A1-AS1",5.665122,1.8654517,1.46920130009773e-08,2.94713798465529e-08,"SKPP_unique_upregulated"
"SKPP","SFTPB",5.663046,1.9323875,1.48709345115854e-08,2.98211156510251e-08,"SKPP_unique_upregulated"
"SKPP","NECTIN2",5.642842,1.6749917,1.67265989972757e-08,3.34839988929607e-08,"SKPP_unique_upregulated"
"SKPP","ACOXL",5.601112,1.6713942,2.12981274951191e-08,4.24920227186471e-08,"SKPP_unique_upregulated"
"SKPP","HP",5.5974016,1.7467372,2.17588545614287e-08,4.34067964173756e-08,"SKPP_unique_upregulated"
"SKPP","FASLG",5.571285,1.5102054,2.52867552284915e-08,5.03368490652209e-08,"SKPP_unique_upregulated"
"SKPP","CEP55",5.5389957,1.7160594,3.042110078302e-08,6.03487530537444e-08,"SKPP_unique_upregulated"
"SKPP","OR52N2",5.526966,4.730852,3.25815686405982e-08,6.45169130903892e-08,"SKPP_unique_upregulated"
"SKPP","FAM20C",5.5219803,2.4620926,3.35199839241784e-08,6.63482748764235e-08,"SKPP_unique_upregulated"
"SKPP","KLHDC8B",5.5185657,2.3373196,3.41777547543554e-08,6.76160453981626e-08,"SKPP_unique_upregulated"
"SKPP","RIBC1",5.489068,1.5172443,4.04059545787716e-08,7.98005368588416e-08,"SKPP_unique_upregulated"
"SKPP","LRRC17",5.476216,1.5300747,4.34517812776123e-08,8.57553662168752e-08,"SKPP_unique_upregulated"
"SKPP","KIFC1",5.4673333,1.7702425,4.56856981118162e-08,9.01005584208849e-08,"SKPP_unique_upregulated"
"SKPP","TNNT1",5.461425,3.0940664,4.72328827652821e-08,9.30299999950719e-08,"SKPP_unique_upregulated"
"SKPP","HTRA3",5.437521,20.91446,5.40269874387131e-08,1.06176568263607e-07,"SKPP_unique_upregulated"
"SKPP","MYB",5.4342203,1.6935216,5.50365293009829e-08,1.08138849820427e-07,"SKPP_unique_upregulated"
"SKPP","ZBTB12",5.4249353,1.5453811,5.7975597838631e-08,1.13810844553203e-07,"SKPP_unique_upregulated"
"SKPP","TRGV7",5.3879366,3.643091,7.12711387144762e-08,1.39407601196009e-07,"SKPP_unique_upregulated"
"SKPP","PIP",5.3844175,3.1408408,7.26796016756076e-08,1.42134164060393e-07,"SKPP_unique_upregulated"
"SKPP","TBC1D30",5.3557754,1.5992678,8.51903855790875e-08,1.66201940679121e-07,"SKPP_unique_upregulated"
"SKPP","SLC49A3",5.3079023,1.9664158,1.10894057147931e-07,2.15489067554192e-07,"SKPP_unique_upregulated"
"SKPP","EPAS1",5.304859,2.5978873,1.12760146415375e-07,2.19069910604708e-07,"SKPP_unique_upregulated"
"SKPP","DLL1",5.2852273,1.5217944,1.25548846819034e-07,2.43482639698202e-07,"SKPP_unique_upregulated"
"SKPP","CDCA2",5.25371,1.5254838,1.4906558734891e-07,2.88118867368971e-07,"SKPP_unique_upregulated"
"SKPP","LINC01010",5.215345,2.2072887,1.83475383890541e-07,3.53649163905645e-07,"SKPP_unique_upregulated"
"SKPP","AMPH",5.14502,1.8139018,2.67492557580285e-07,5.12462734162035e-07,"SKPP_unique_upregulated"
"SKPP","BMPER",5.1340704,1.6082435,2.83541960967007e-07,5.42307603577597e-07,"SKPP_unique_upregulated"
"SKPP","ABTB2",5.1209793,1.5036029,3.03952852852159e-07,5.80324853606308e-07,"SKPP_unique_upregulated"
"SKPP","C1QB",5.090684,2.899623,3.56773958489429e-07,6.79516529075447e-07,"SKPP_unique_upregulated"
"SKPP","HBQ1",5.089742,2.413799,3.5855101940851e-07,6.82834681049706e-07,"SKPP_unique_upregulated"
"SKPP","CEACAM8",5.083684,2.0004067,3.70183463011806e-07,7.04644942044263e-07,"SKPP_unique_upregulated"
"SKPP","TIGD4",5.0720577,1.6671551,3.93537393457159e-07,7.4822577877669e-07,"SKPP_unique_upregulated"
"SKPP","CNIH2",5.0410285,1.8335378,4.6303640388929e-07,8.77974452645894e-07,"SKPP_unique_upregulated"
"SKPP","HTR2B",5.039101,1.5660471,4.67723008969357e-07,8.86774909360758e-07,"SKPP_unique_upregulated"
