Sample,mMDSC_ENTPD1_expression,mMDSC_NT5E_expression,mMDSC_ARG1_expression,mMDSC_IDO1_expression,mMDSC_STAT3_expression,mMDSC_SIGLEC9_expression,mMDSC_CD274_expression,mMDSC_PDCD1LG2_expression,mMDSC_TGFB3_expression,mMDSC_IL10_expression,mMDSC_ENTPD1_fraction,mMDSC_NT5E_fraction,mMDSC_ARG1_fraction,mMDSC_IDO1_fraction,mMDSC_STAT3_fraction,mMDSC_SIGLEC9_fraction,mMDSC_CD274_fraction,mMDSC_PDCD1LG2_fraction,mMDSC_TGFB3_fraction,mMDSC_IL10_fraction,mMDSC_suppressive_score,Condition
S06,0.4203545,0.0,0.115104645,0.0,1.1074431,0.004602129,0.042582218,0.0,0.0,0.0,0.208955223880597,0.0,0.04477611940298507,0.0,0.5074626865671642,0.014925373134328358,0.014925373134328358,0.0,0.0,0.0,0.08023686415699585,SKPP
S07,0.8721471,0.00045995333,1.1605707,0.02089747,1.0013628,0.03064996,0.0012264618,0.0,0.0014611784,0.0,0.3847360167276529,0.0005227391531625719,0.47987454260324097,0.01150026136957658,0.4354417145844224,0.01620491374803973,0.0010454783063251437,0.0,0.0010454783063251437,0.0,0.1007236546522763,SKPP
S08,1.277782,0.0022301194,0.7433203,0.0044338075,0.87352437,0.08643679,0.0073289843,0.0022933336,0.0013629829,0.0011149627,0.6655251141552512,0.00228310502283105,0.4063926940639269,0.001141552511415525,0.5388127853881278,0.09474885844748858,0.0045662100456621,0.00228310502283105,0.00228310502283105,0.00228310502283105,0.09469070994957703,SKPP
S09,1.3305424,0.0006136742,1.2203747,0.042067997,1.0912446,0.04209467,0.0014198421,0.002535035,0.0014146349,0.0014102566,0.6876430205949656,0.0007627765064836003,0.6243325705568269,0.031273836765827616,0.6128909229595728,0.03546910755148741,0.0011441647597254005,0.002288329519450801,0.0011441647597254005,0.002288329519450801,0.12052559937893775,SKPP
S10,0.3477583,0.008130322,0.21536216,0.12278725,0.6432036,0.03917379,0.022045672,0.0025199202,0.0037867508,0.0,0.1978021978021978,0.003663003663003663,0.11355311355311355,0.054945054945054944,0.358974358974359,0.029304029304029304,0.01098901098901099,0.003663003663003663,0.007326007326007326,0.0,0.05857337461623162,SKPP
S11,0.23901546,0.0,0.32905042,0.010200007,1.0028347,0.16522485,0.0,0.0,0.0,0.0,0.14,0.0,0.16,0.02,0.54,0.16,0.0,0.0,0.0,0.0,0.02927583400604354,SKPP
S12,0.6961363,0.0020645945,0.77033716,0.007891086,0.7160682,0.06803782,0.0042417063,0.0,0.0,0.0,0.31802721088435376,0.0017006802721088435,0.3197278911564626,0.00510204081632653,0.33843537414965985,0.05102040816326531,0.0017006802721088435,0.0,0.0,0.0,0.08821305602612585,SKPP
S13,0.9336098,0.0023789909,1.6433533,0.019408653,1.0666376,0.0725865,0.00017319637,0.0022789964,0.0017157096,0.0014334343,0.4780439121756487,0.001996007984031936,0.6936127744510978,0.012974051896207584,0.5513972055888223,0.04940119760479042,0.000499001996007984,0.0014970059880239522,0.00249500998003992,0.000998003992015968,0.11053969884320983,SKPP
S14,1.1073362,0.0055786143,1.2895374,0.04339525,0.99569273,0.030686624,0.004436557,0.002471176,0.0018930415,0.000549396,0.5347063310450039,0.0030511060259344014,0.5842868039664378,0.02822273073989321,0.5278413424866514,0.019832189168573607,0.0030511060259344014,0.0015255530129672007,0.002288329519450801,0.0007627765064836003,0.08328282476390184,SKPP
S15,0.33470497,0.0,0.110641174,0.0,0.8384681,0.1736081,0.0,0.0,0.0,0.0,0.21,0.0,0.06,0.0,0.5,0.16,0.0,0.0,0.0,0.0,0.06598659476899588,SKPP
S16,0.21719757,0.0,0.13848495,0.036289807,0.56457573,0.104355276,0.0,0.0,0.04717475,0.0,0.16981132075471697,0.0,0.05660377358490566,0.018867924528301886,0.49056603773584906,0.11320754716981132,0.0,0.0,0.018867924528301886,0.0,0.029814001380917252,SKPP
S17,0.49569607,0.0,0.0658376,0.0,0.97389776,0.16392313,0.05952982,0.0,0.0,0.0,0.3225806451612903,0.0,0.03225806451612903,0.0,0.6129032258064516,0.11290322580645161,0.03225806451612903,0.0,0.0,0.0,0.06340020713959497,SKPP
S18,0.5751327,0.0074602,0.30721897,0.0,0.68533814,0.1706619,0.010467034,0.0,0.0,0.009012309,0.39705882352941174,0.0058823529411764705,0.22941176470588234,0.0,0.5029411764705882,0.1676470588235294,0.011764705882352941,0.0,0.0,0.008823529411764706,0.06612730623490898,SKPP
S19,0.22197214,0.0,0.0,0.0,0.31788343,0.0,0.0,0.0,0.03772726,0.0,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,-0.055124898058397764,SKPP
S20,0.025048476,0.0,0.025048476,0.0,0.8271523,0.07371905,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.47368421052631576,0.10526315789473684,0.0,0.0,0.0,0.0,-0.021831890029267623,SKPP
S21,0.0,0.0,0.020629253,0.0,0.5089802,0.021548249,0.01932795,0.0,0.04176113,0.0,0.0,0.0,0.0078125,0.0,0.21875,0.0078125,0.0078125,0.0,0.015625,0.0,-0.0508699168215071,SKPP
S22,0.3295062,0.0,0.027354537,0.0,0.81814295,0.30165398,0.038339816,0.02214981,0.0,0.007971066,0.4,0.0,0.04,0.0,0.7,0.38,0.02,0.02,0.0,0.02,0.0533897455908668,SKPP
S23,0.3380992,0.04054976,0.0,0.0,0.79065436,0.22123027,0.008999283,0.0,0.008282541,0.0,0.33962264150943394,0.03773584905660377,0.0,0.0,0.6415094339622641,0.24528301886792453,0.018867924528301886,0.0,0.018867924528301886,0.0,0.05154060794540757,SKPP
