Sample,CD8_exhausted_like_Exhaustion_scores,CD8_exhausted_like_Apoptosis_scores,CD8_exhausted_like_TCR_signaling_scores,CD8_exhausted_like_Cytotoxic_scores,CD8_exhausted_like_Activation_effector_scores,CD8_exhausted_like_IFN_response_scores
S06,0.18826067748081762,0.3281798543853129,0.5819003322626662,0.8512461893216132,0.40277523725055525,0.07580125528141946
S07,0.17614535453498514,0.2249947409094572,0.5455472859891304,0.639159598050865,0.362144381561984,0.07541679183072869
S08,0.11858528723104378,0.22582837054866345,0.41200092432157875,0.7655616584518489,0.3958069245682616,0.1397690053698591
S09,0.17028284408272815,0.28737978121906965,0.5003691269588739,0.7986177942039202,0.37144279555738546,0.19961763291162885
S10,0.16250450798540034,0.2161902474771882,0.55256804525779,0.624377115094984,0.4001588731820395,0.14692485887386225
S11,0.18523237928822794,0.32013334599090393,0.5499722146266731,0.9484110295594296,0.4661080104036631,0.17249124906470337
S12,0.1297838362328605,0.22201180989283048,0.47505945123868726,0.4758081928091668,0.29845318655604425,0.15561618280663897
S13,0.13139376569880973,0.12262655748031943,0.5340057638118159,0.30639858273014414,0.2315439685010574,0.06206209523085363
S14,0.1604801654846351,0.22355121342532536,0.5513496642723812,0.468625145731215,0.3501299590414762,0.20114544221565633
S15,0.20196421416891758,0.2682357793161634,0.5894900316357247,0.6944898331028486,0.37899706473092415,0.25493971216038885
S16,0.26369653072883453,0.49090104902510695,0.7075578469414324,1.2148823846998824,0.5829619638580896,0.4886784241145319
S17,0.17559488810270557,0.38331543169302607,0.5938370793703341,1.136943321479758,0.48392962796291106,0.29324430247229055
S18,0.20932307993087496,0.3436058710489209,0.6380703430247735,0.8370974589924682,0.44746702910904446,0.24572261229078304
S19,0.1722755541243508,0.37294253247099346,0.6438377115467304,0.9743028742911567,0.5284842093444001,0.2745605107899238
S20,0.19401399673139433,0.38642188472461564,0.6570458841485618,0.9963827338385042,0.46572321392651955,0.2359649723216105
S21,0.1615661194463835,0.3645162226689294,0.6168928879190465,1.03483695429692,0.4669140885952235,0.2236942189573924
S22,0.2657561909953287,0.48892904323750946,0.6434526429427414,1.022954640268408,0.484687817836799,0.30477440891736884
S23,0.16274220857667338,0.37589312857381524,0.594433802801484,0.9636575494544841,0.44705831534016655,0.3108750895023868
